initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_practice.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_practice.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
sequences/538043_initial_random.csv,1,90,1,3,red,0,0,0,0,0,19,19,19,54.22662359988317,,,,,,,,,,,,54.21063630003482,54.22662359988317,54.22662359988317,54.4278072998859,54.69419960002415,2,0,54.69459069985896,54.70989299984649,54.70989299984649,55.20990729983896,55.70977930002846,55.69376179995015,55.69378879992291,55.70977930002846,56.409668899839744,56.3935507000424,,0.45293649984523654,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,20,20,20,56.409668899839744,,,,,,,,,,,,56.393842099932954,56.409668899839744,56.409668899839744,56.609693499980494,56.89351369999349,None,0,56.893773099873215,56.90986320003867,56.90986320003867,57.40964389988221,57.9096431999933,57.893700199900195,57.89373079990037,57.9096431999933,58.6097583998926,58.59369599982165,56.90986320003867,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,21,21,21,58.6097583998926,,,,,,,,,,,,58.594075799919665,58.6097583998926,58.6097583998926,58.80973690003157,59.09348289994523,None,0,59.09370950004086,59.109992699930444,59.109992699930444,59.609807800035924,60.10945909982547,60.09331909986213,60.09333519986831,60.10945909982547,,60.793477499857545,59.109992699930444,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,1,90,1,3,red,0,0,0,0,0,22,22,22,60.80951419984922,,,,,,,,,,,,60.79376140004024,60.80951419984922,60.80951419984922,61.00965070002712,61.29326069983654,None,0,61.293498900020495,61.30960199981928,61.30960199981928,61.80960419983603,62.30945279984735,62.29321339982562,62.29322879994288,62.30945279984735,63.00941519998014,62.993175899842754,61.30960199981928,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,23,23,23,63.00941519998014,,,,,,,,,,,,62.993496999843046,63.00941519998014,63.00941519998014,63.20962839992717,63.49312729993835,None,0,63.49334039981477,63.509546799818054,63.509546799818054,64.00936120003462,64.50935389986262,64.4935832999181,64.49361120001413,64.50935389986262,65.20956939994358,65.19317670003511,63.509546799818054,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,1,90,1,3,red,0,0,0,0,0,24,24,24,65.20956939994358,,,,,,,,,,,,65.19353169994429,65.20956939994358,65.20956939994358,65.4092736998573,65.57648189994507,4,0,65.5767140998505,65.59274140000343,65.59274140000343,66.09285849984735,66.59267179993913,66.57696259999648,66.57698210002854,66.59267179993913,67.29291069996543,67.27693719998933,,0.3567952997982502,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,25,25,25,67.29291069996543,,,,,,,,,,,,67.2774567999877,67.29291069996543,67.29291069996543,67.49275989993475,67.75994189991616,2,1,67.76029689982533,67.77592639997602,67.77592639997602,68.27607739996165,68.77616839995608,68.76032090000808,68.76035610004328,68.77616839995608,69.47596689988859,69.4597708999645,,0.4538490998093039,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,26,26,26,69.47596689988859,,,,,,,,,,,,69.46001099981368,69.47596689988859,69.47596689988859,69.67584939999506,69.95989990001544,None,0,69.96018860000186,69.97606929996982,69.97606929996982,70.47581760003231,70.97579919989221,70.95955389994197,70.95956999994814,70.97579919989221,71.6759114000015,71.65936469985172,69.97606929996982,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,1,90,1,3,red,0,0,0,0,0,27,27,27,71.6759114000015,,,,,,,,,,,,71.65968139981851,71.6759114000015,71.6759114000015,71.8758084999863,72.15930449985899,None,0,72.15948669984937,72.17599859996699,72.17599859996699,72.67580650001764,73.17575109982863,73.15949460002594,73.1595111999195,73.17575109982863,73.87560039991513,73.8598331999965,72.17599859996699,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,28,28,28,73.87560039991513,,,,,,,,,,,,73.86009770003147,73.87560039991513,73.87560039991513,74.07563089998439,74.30938809993677,3,0,74.30964379990473,74.32583180000074,74.32583180000074,74.82558940001763,75.32556679984555,75.30953079997562,75.30955659993924,75.32556679984555,76.02559409989044,76.00929820002057,,0.4321731999516487,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,29,29,29,76.02559409989044,,,,,,,,,,,,76.00952389999293,76.02559409989044,76.02559409989044,76.22555570001714,76.5092568998225,None,0,76.50944579998031,76.52562529989518,76.52562529989518,77.02570219989866,77.52543149981648,77.50939220003784,77.50940810004249,77.52543149981648,78.22538560000248,78.20934179984033,76.52562529989518,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,30,30,30,78.22538560000248,,,,,,,,,,,,78.20969309983775,78.22538560000248,78.22538560000248,78.42526569985785,78.67637029988691,4,1,78.67662859987468,78.69216759991832,78.69216759991832,79.19199139997363,79.69188289996237,79.67568169999868,79.675700499909,79.69188289996237,80.39225219981745,80.37608259986155,,0.4479453000240028,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,1,90,1,3,red,0,0,0,0,0,31,31,31,80.39225219981745,,,,,,,,,,,,80.37645299988799,80.39225219981745,80.39225219981745,80.59200119995512,80.87573909992352,None,0,80.87624489981681,80.89228020003065,80.89228020003065,81.39198799990118,81.8917145000305,81.87568559986539,81.87570640002377,81.8917145000305,82.59176420001313,82.5755552998744,80.89228020003065,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,32,32,32,82.59176420001313,,,,,,,,,,,,82.57577819982544,82.59176420001313,82.59176420001313,82.79209510004148,83.07551350002177,None,0,83.0757253000047,83.09196909982711,83.09196909982711,83.59183379984461,84.09169989987276,84.0757438999135,84.0757583999075,84.09169989987276,84.79169770004228,84.77544529992156,83.09196909982711,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,33,33,33,84.79169770004228,,,,,,,,,,,,84.77571429987438,84.79169770004228,84.79169770004228,84.99169959989376,85.27541369991377,None,0,85.27559269987978,85.29178490000777,85.29178490000777,85.7918284998741,86.29161720001139,86.27521839994006,86.2752399998717,86.29161720001139,86.99674890004098,86.97541239997372,85.29178490000777,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,34,34,34,86.99674890004098,,,,,,,,,,,,86.97571899998002,86.99674890004098,86.99674890004098,87.21933079999872,87.49175099981949,None,0,87.4919588000048,87.50845439988188,87.50845439988188,88.00842779991217,88.50811589998193,88.4919643998146,88.49198059993796,88.50811589998193,89.20821479987353,89.19203120004386,,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,35,35,35,89.20821479987353,,,,,,,,,,,,89.19227699982002,89.20821479987353,89.20821479987353,89.40809020004235,89.55879149981774,2,0,89.55939389998093,89.57489919988438,89.57489919988438,90.07507629995234,90.5748481999617,90.55841009994037,90.55842589982785,90.5748481999617,91.27487839991227,91.2587337999139,,0.34182329988107085,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,36,36,36,91.27487839991227,,,,,,,,,,,,91.25911429990083,91.27487839991227,91.27487839991227,91.4747515998315,91.67527460004203,2,1,91.67553159990348,91.69151799986139,91.69151799986139,92.19140809983946,92.69135860004462,92.67505709989928,92.67507709981874,92.69135860004462,93.39127369993366,93.37508839997463,,0.3857340000104159,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,37,37,37,93.39127369993366,,,,,,,,,,,,93.37540269992314,93.39127369993366,93.39127369993366,93.59125569998287,93.75835249992087,3,0,93.75856969994493,93.77470949990675,93.77470949990675,94.27623660000972,94.77453129994683,94.75825969991274,94.7582778998185,94.77453129994683,,95.45835840003565,,0.35349579993635416,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,38,38,38,95.47459340002388,,,,,,,,,,,,95.45867279986851,95.47459340002388,95.47459340002388,95.6743491999805,95.7752588998992,1,0,95.77561159990728,95.79128280002624,95.79128280002624,96.2912649998907,96.79108889983036,96.77502129995264,96.77504360000603,96.79108889983036,97.49109179992229,97.47497490001842,,0.2953304999973625,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,39,39,39,97.49109179992229,,,,,,,,,,,,97.47523409989662,97.49109179992229,97.49109179992229,97.69097090000287,97.97497009998187,None,0,97.97526320000179,97.99102950002998,97.99102950002998,98.49115159991197,98.99098540004343,98.97567039984278,98.97568839997984,98.99098540004343,99.69124569999985,99.67487500002608,97.99102950002998,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,40,40,40,99.69124569999985,,,,,,,,,,,,99.67515959986486,99.69124569999985,99.69124569999985,99.89090809994377,100.0915683999192,4,1,100.09180739987642,100.10765090002678,100.10765090002678,100.60753779998049,101.10742400004528,101.09150719991885,101.09153259987943,101.10742400004528,101.80754399998114,101.79161039995961,,0.39850520016625524,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,41,41,41,101.80754399998114,,,,,,,,,,,,101.7920460999012,101.80754399998114,101.80754399998114,102.00761649990454,102.29145469982177,None,0,102.2917587000411,102.30752589995973,102.30752589995973,102.80748680001125,103.30757909989916,103.291349099949,103.2913728998974,103.30757909989916,104.00758179998957,103.99133749981411,102.30752589995973,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,42,42,42,104.00758179998957,,,,,,,,,,,,103.99171780003235,104.00758179998957,104.00758179998957,104.20738499984145,104.47470729984343,3,0,104.47495829989202,104.49089449993335,104.49089449993335,104.99065189994872,105.49061879981309,105.47449689987116,105.47451719990931,105.49061879981309,106.1907782999333,106.17436119983904,,0.4587561001535505,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,43,43,43,106.1907782999333,,,,,,,,,,,,106.17461009998806,106.1907782999333,106.1907782999333,106.39067539991811,106.46502489992417,2,0,106.46523820003495,106.47398649994284,106.47398649994284,106.97415349981748,107.47681659995578,107.45749179995619,107.45750759984367,107.47681659995578,,108.174254699843,,0.25909420009702444,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,44,44,44,108.19060119986534,,,,,,,,,,,,108.17454729997553,108.19060119986534,108.19060119986534,108.39055159990676,108.67400849983096,None,0,108.67421790002845,108.69074189988896,108.69074189988896,109.1907730998937,109.69070629985072,109.67449190001935,109.67450900003314,109.69070629985072,110.39075619983487,110.3741280999966,,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
,,,,,,,,,,,,,,110.39075619983487,,,,,,,,,,,,110.3743546998594,110.39075619983487,110.39075619983487,110.59059599996544,110.87418399984017,None,0,110.87436629994772,110.89054699987173,110.89054699987173,,,,,,,,110.89054699987173,,,,,,,,,,,,
