initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_feedback.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_feedback.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,debug,date,expName,psychopyVersion,frameRate,expStart,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,19,19,19,44.768966399999044,,,,,,,,,,,,44.753618599999754,44.768966399999044,44.768966399999044,44.9687042000005,45.202569900000526,down,1,45.20287390000158,45.21870879999915,45.21870879999915,45.71856600000319,46.21856449999905,46.20270000000164,46.2027223000041,46.21856449999905,46.91864940000232,46.902374500001315,,0.4258445000014035,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,20,20,20,46.91864940000232,,,,,,,,,,,,46.9026451000027,46.91864940000232,46.91864940000232,47.11854149999999,47.336066000003484,left,1,47.33635769999819,47.35182370000257,47.35182370000257,47.85179240000434,48.35183170000528,48.33586179999838,48.335906400003296,48.35183170000528,49.051866300003894,49.035689600001206,,0.41533930000150576,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,21,21,21,49.051866300003894,,,,,,,,,,,,49.03593130000081,49.051866300003894,49.051866300003894,49.251659300003666,49.50261400000454,down,1,49.50296750000416,49.518443200002366,49.518443200002366,50.018490200003725,50.518381200003205,50.50205339999957,50.50208230000135,50.518381200003205,51.21845570000005,51.20245630000136,,0.4372858999995515,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,22,22,22,51.21845570000005,,,,,,,,,,,,51.2029349000004,51.21845570000005,51.21845570000005,51.41819799999939,51.686278400004085,down,1,51.68666479999956,51.70174650000263,51.70174650000263,52.2016122999994,52.70155320000049,52.68532019999839,52.68534360000194,52.70155320000049,53.40160990000004,53.38565070000186,,0.4621636000010767,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,1,90,1,right,red,0,0,0,0,0,23,23,23,53.40160990000004,,,,,,,,,,,,53.38605410000309,53.40160990000004,53.40160990000004,53.601565100005246,53.83562000000529,right,1,53.835917399999744,53.85171730000002,53.85171730000002,54.35138620000362,54.85151749999932,54.83545400000003,54.83548080000037,54.85151749999932,55.55147830000351,55.535593600005086,,0.4288804000025266,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,1,90,1,right,red,0,0,0,0,0,24,24,24,55.55147830000351,,,,,,,,,,,,55.535888300000806,55.55147830000351,55.55147830000351,55.751477700003306,55.952059900002496,down,0,55.9523291000005,55.96819990000222,55.96819990000222,56.46796280000126,56.96821820000332,56.95206809999945,56.95209630000318,56.96821820000332,57.66804570000386,57.65185400000337,,0.39882139999826904,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,1,90,1,right,red,0,0,0,0,0,25,25,25,57.66804570000386,,,,,,,,,,,,57.652149100002134,57.66804570000386,57.66804570000386,57.86805870000535,58.08560489999945,right,1,58.08593380000093,58.10131440000259,58.10131440000259,58.60121110000182,59.10118160000275,59.08510799999931,59.085122199998295,59.10118160000275,59.801195500003814,59.784957299998496,,0.4069264999998268,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,26,26,26,59.801195500003814,,,,,,,,,,,,59.78521680000267,59.801195500003814,59.801195500003814,60.00099130000308,60.118631299999834,down,0,60.118878300003416,60.134649600004195,60.134649600004195,60.634628200001316,61.13465910000377,61.11830660000123,61.11832290000166,61.13465910000377,61.834501099998306,61.818561700005375,,0.3137048999997205,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,0,0,0,up,red,0,0,0,0,0,27,27,27,61.834501099998306,,,,,,,,,,,,61.8187820000021,61.834501099998306,61.834501099998306,62.03452449999895,62.31816410000465,None,0,62.31835080000019,62.3344922000033,62.3344922000033,62.834389399999054,63.33444550000422,63.31819920000271,63.318225200004235,63.33444550000422,64.03440830000181,64.01827580000099,62.3344922000033,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,28,28,28,64.03440830000181,,,,,,,,,,,,64.01856570000382,64.03440830000181,64.03440830000181,64.23451909999858,64.46859519999998,left,0,64.46891770000366,64.48445139999967,64.48445139999967,64.98434070000076,65.48423770000227,65.46823240000231,65.46825080000417,65.48423770000227,66.1843749000036,66.16823339999974,,0.42599019999761367,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
